Sample,Tissue,Sex,Age
GTEX-WVLH-0011-R4A-SM-3MJFS,Amygdala,Male,58.0
GTEX-1269C-0011-R4b-SM-5P9ES,Amygdala,Female,62.0
GTEX-OHPN-0011-R4A-SM-2I5FD,Amygdala,Female,61.0
GTEX-P44G-0011-R4A-SM-2I3FB,Amygdala,Male,34.0
GTEX-147GR-0011-R4a-SM-5S2V2,Amygdala,Male,65.0
GTEX-X4XX-0011-R4B-SM-46MWL,Amygdala,Male,69.0
GTEX-13112-0011-R4b-SM-5DUXL,Amygdala,Male,52.0
GTEX-13OW6-0011-R4a-SM-5O9DX,Amygdala,Male,59.0
GTEX-13X6J-0011-R4b-SM-5P9K4,Amygdala,Male,56.0
GTEX-RNOR-0011-R4A-SM-3GAD3,Amygdala,Female,52.0
GTEX-QMR6-0011-R4A-SM-32PKU,Amygdala,Male,59.0
GTEX-X585-0011-R4B-SM-46MVH,Amygdala,Male,56.0
GTEX-P44H-0011-R4A-SM-2XCEW,Amygdala,Male,43.0
GTEX-13QIC-0011-R4a-SM-5PNX8,Amygdala,Female,65.0
GTEX-13X6I-0011-R4b-SM-5PNU9,Amygdala,Male,65.0
GTEX-131YS-0011-R4a-SM-5DUVL,Amygdala,Female,67.0
GTEX-12WSA-0011-R4a-SM-57WB7,Amygdala,Male,67.0
GTEX-1399T-0011-R4b-SM-5DUVX,Amygdala,Male,67.0
GTEX-13SLW-0011-R4b-SM-5S2W2,Amygdala,Male,70.0
GTEX-145MI-0011-R4b-SM-5PNZH,Amygdala,Female,68.0
GTEX-R55E-0011-R4A-SM-2TC5H,Amygdala,Male,22.0
GTEX-139T8-0011-R4a-SM-5HL54,Amygdala,Male,62.0
GTEX-YFC4-0011-R4a-SM-4RGLQ,Amygdala,Female,47.0
GTEX-QVJO-0011-R4A-SM-2S1QL,Amygdala,Female,64.0
GTEX-TSE9-0011-R4A-SM-3DB7H,Amygdala,Female,60.0
GTEX-QDT8-0011-R4A-SM-32PKM,Amygdala,Female,30.0
GTEX-139UC-0011-R4a-SM-5K7XM,Amygdala,Male,67.0
GTEX-13JVG-0011-R4a-SM-5MR4C,Amygdala,Male,64.0
GTEX-NL3H-0011-R4a-SM-2I3GK,Amygdala,Male,60.0
GTEX-RVPU-0011-R4A-SM-2TF6X,Amygdala,Male,57.0
GTEX-13OW7-0011-R4b-SM-5O9CX,Amygdala,Male,53.0
GTEX-13RTJ-0011-R4b-SM-5PNX1,Amygdala,Male,60.0
GTEX-XLM4-0011-R4B-SM-4AT5C,Amygdala,Male,64.0
GTEX-12WS9-0011-R4b-SM-5P9EU,Amygdala,Female,59.0
GTEX-13X6K-0011-R4b-SM-5P9HO,Amygdala,Female,61.0
GTEX-12WSD-0011-R4b-SM-5LZUA,Amygdala,Female,64.0
GTEX-13OVL-0011-R4b-SM-5L3HV,Amygdala,Male,50.0
GTEX-NL4W-0011-R4a-SM-2I5GZ,Amygdala,Male,53.0
GTEX-QVUS-0011-R4A-SM-3GAE7,Amygdala,Female,69.0
GTEX-1445S-0011-R4a-SM-5PNWN,Amygdala,Male,64.0
GTEX-N7MS-0011-R4a-SM-2HMKW,Amygdala,Male,61.0
GTEX-13PVQ-0011-R4a-SM-5O9CT,Amygdala,Male,59.0
GTEX-145LS-0011-R4b-SM-5S2UT,Amygdala,Female,61.0
GTEX-13OVH-0011-R4a-SM-5KM3W,Amygdala,Male,70.0
GTEX-13N1W-0011-R4a-SM-5MR52,Amygdala,Male,70.0
GTEX-144GL-0011-R4a-SM-5PNUI,Amygdala,Male,57.0
GTEX-13OVJ-0011-R4b-SM-5P9H5,Amygdala,Female,55.0
GTEX-1313W-0011-R4b-SM-5KLZV,Amygdala,Female,54.0
GTEX-12WSH-0011-R4a-SM-5GU6K,Amygdala,Male,59.0
GTEX-13OW5-0011-R4b-SM-5L3HS,Amygdala,Male,62.0
GTEX-12ZZZ-0011-R4b-SM-5DUV7,Amygdala,Male,64.0
GTEX-13NYS-0011-R4b-SM-5MR3O,Amygdala,Male,63.0
GTEX-ZAB4-0011-R4a-SM-4SOKB,Amygdala,Male,47.0
GTEX-14ABY-0011-R4b-SM-5S2VN,Amygdala,Male,59.0
GTEX-UTHO-0011-R4A-SM-3GIJP,Amygdala,Male,68.0
GTEX-11ZU8-0011-R4a-SM-5BC6Y,Amygdala,Male,64.0
GTEX-14BIM-0011-R4b-SM-5S2RK,Amygdala,Female,64.0
GTEX-N7MT-0011-R4a-SM-2I3G9,Amygdala,Female,68.0
GTEX-13FLV-0011-R4a-SM-5LZYU,Amygdala,Male,50.0
GTEX-WZTO-0011-R4A-SM-3NMC7,Amygdala,Male,44.0
GTEX-12ZZW-0011-R4a-SM-5DUX9,Amygdala,Male,57.0
GTEX-ZE9C-0011-R4a-SM-4WKH6,Amygdala,Male,69.0
GTEX-NPJ7-0011-R4a-SM-2I3GJ,Amygdala,Female,68.0
GTEX-13O3Q-0011-R4a-SM-5P9H2,Amygdala,Male,53.0
GTEX-13SLX-0011-R4a-SM-5O9BJ,Amygdala,Female,57.0
GTEX-11ZVC-0011-R4a-SM-5BC6Z,Amygdala,Female,56.0
GTEX-13N2G-0011-R4b-SM-5MR54,Amygdala,Male,60.0
GTEX-13VXU-0011-R4b-SM-5O9CI,Amygdala,Male,58.0
GTEX-NPJ8-0011-R4a-SM-2HML3,Amygdala,Male,40.0
GTEX-Q2AG-0011-R4A-SM-2HMKA,Amygdala,Female,42.0
GTEX-RVPU-0011-R4A-SM-5SI8K,Amygdala,Male,57.0
GTEX-S7SE-0011-R4A-SM-2XCDB,Amygdala,Male,58.0
GTEX-T5JC-0011-R4A-SM-32PLT,Amygdala,Male,27.0
GTEX-WHSE-0011-R4A-SM-3P5ZN,Amygdala,Male,20.0
GTEX-131XH-0011-R4b-SM-5DUWB,Amygdala,Male,53.0
GTEX-13CZV-0011-R4b-SM-5J2NY,Amygdala,Male,64.0
GTEX-13O3O-0011-R4b-SM-5KM3F,Amygdala,Female,68.0
GTEX-T6MN-0011-R4A-SM-32QPG,Amygdala,Male,51.0
GTEX-ZVZQ-0011-R4b-SM-57WCZ,Amygdala,Female,62.0
GTEX-12WSF-0011-R4b-SM-5HL88,Amygdala,Male,70.0
GTEX-13OW5-0011-R3a-SM-5L3I5,Anterior,Male,62.0
GTEX-ZE9C-0011-R3a-SM-4WKGT,Anterior,Male,69.0
GTEX-12WS9-0011-R3a-SM-5CVNF,Anterior,Female,59.0
GTEX-12WSM-0011-R3b-SM-5LZWI,Anterior,Male,63.0
GTEX-145MI-0011-R3b-SM-5PNWK,Anterior,Female,68.0
GTEX-145MH-0011-R3b-SM-5P9JQ,Anterior,Male,57.0
GTEX-13QIC-0011-R3a-SM-5P9HT,Anterior,Female,65.0
GTEX-ZF28-0011-R3a-SM-4WWDA,Anterior,Male,69.0
GTEX-13FLV-0011-R3b-SM-5LZYP,Anterior,Male,50.0
GTEX-12ZZX-0011-R3b-SM-5EGLH,Anterior,Female,49.0
GTEX-P44H-0011-R3A-SM-2XCEQ,Anterior,Male,43.0
GTEX-14BIM-0011-R3b-SM-5S2RL,Anterior,Female,64.0
GTEX-RNOR-0011-R3A-SM-2TF5J,Anterior,Female,52.0
GTEX-YJ89-0011-R3b-SM-4V6EF,Anterior,Male,60.0
GTEX-Z93S-0011-R3b-SM-4RGNH,Anterior,Male,52.0
GTEX-XMD1-0011-R3B-SM-4AT5R,Anterior,Male,67.0
GTEX-13CF2-0011-R3b-SM-5LZZ6,Anterior,Male,61.0
GTEX-11ZU8-0011-R3a-SM-5BC6U,Anterior,Male,64.0
GTEX-13CZV-0011-R3a-SM-5KM27,Anterior,Male,64.0
GTEX-QVUS-0011-R3A-SM-3GAFD,Anterior,Female,69.0
GTEX-12WSD-0011-R3b-SM-5LZWN,Anterior,Female,64.0
GTEX-N7MS-0011-R3a-SM-2HMKD,Anterior,Male,61.0
GTEX-PWO3-0011-R3A-SM-2I5EX,Anterior,Female,69.0
GTEX-13NYS-0011-R3b-SM-5MR41,Anterior,Male,63.0
GTEX-13O3Q-0011-R3a-SM-5P9H3,Anterior,Male,53.0
GTEX-13IVO-0011-R3b-SM-5IJBJ,Anterior,Male,70.0
GTEX-13OVJ-0011-R3b-SM-5P9H6,Anterior,Female,55.0
GTEX-ZVZQ-0011-R3a-SM-57WC7,Anterior,Female,62.0
GTEX-13JVG-0011-R3b-SM-5LZXF,Anterior,Male,64.0
GTEX-ZAB4-0011-R3a-SM-4RGNQ,Anterior,Male,47.0
GTEX-13OW7-0011-R3a-SM-5O9DA,Anterior,Male,53.0
GTEX-1445S-0011-R3a-SM-5P9HY,Anterior,Male,64.0
GTEX-13N1W-0011-R3a-SM-5MR5E,Anterior,Male,70.0
GTEX-145LU-0011-R3a-SM-5P9K2,Anterior,Male,50.0
GTEX-UTHO-0011-R3A-SM-3GIK8,Anterior,Male,68.0
GTEX-12WSC-0011-R3a-SM-5P9F1,Anterior,Male,56.0
GTEX-NL3H-0011-R3a-SM-2I3GL,Anterior,Male,60.0
GTEX-WL46-0011-R3A-SM-3TW8E,Anterior,Male,53.0
GTEX-XLM4-0011-R3B-SM-4AT6E,Anterior,Male,64.0
GTEX-Q2AG-0011-R3A-SM-2HMJ9,Anterior,Female,42.0
GTEX-ZDXO-0011-R3a-SM-4WKFS,Anterior,Male,60.0
GTEX-PVOW-0011-R3A-SM-32PKX,Anterior,Male,40.0
GTEX-P44G-0011-R3A-SM-2I3FC,Anterior,Male,34.0
GTEX-13RTL-0011-R3a-SM-5P9JP,Anterior,Male,47.0
GTEX-RVPV-0011-R3A-SM-2TF63,Anterior,Male,67.0
GTEX-N7MS-0011-R3a-SM-33HC6,Anterior,Male,61.0
GTEX-QDT8-0011-R3A-SM-32PKR,Anterior,Female,30.0
GTEX-1477Z-0011-R3b-SM-5PNX9,Anterior,Male,65.0
GTEX-13N2G-0011-R3b-SM-5MR5G,Anterior,Male,60.0
GTEX-13X6J-0011-R3b-SM-5P9K5,Anterior,Male,56.0
GTEX-ZVT3-0011-R3b-SM-51MTJ,Anterior,Female,67.0
GTEX-131XH-0011-R3b-SM-5DUWM,Anterior,Male,53.0
GTEX-11GSO-0011-R3b-SM-57WB2,Anterior,Male,61.0
GTEX-YFC4-0011-R3a-SM-4RGLP,Anterior,Female,47.0
GTEX-13PVQ-0011-R3b-SM-5O9D6,Anterior,Male,59.0
GTEX-13RTJ-0011-R3a-SM-5PNX7,Anterior,Male,60.0
GTEX-139TT-0011-R3b-SM-5K7VL,Anterior,Male,60.0
GTEX-13FHO-0011-R3b-SM-5K7YA,Anterior,Male,61.0
GTEX-WZTO-0011-R3B-SM-3NMC6,Anterior,Male,44.0
GTEX-XOTO-0011-R3A-SM-4B64W,Anterior,Male,59.0
GTEX-RNOR-0011-R3A-SM-5SI8E,Anterior,Female,52.0
GTEX-144GL-0011-R3a-SM-5P9HP,Anterior,Male,57.0
GTEX-12WSF-0011-R3a-SM-5DUW7,Anterior,Male,70.0
GTEX-139T8-0011-R3b-SM-5HL4R,Anterior,Male,62.0
GTEX-13X6K-0011-R3b-SM-5PNUD,Anterior,Female,61.0
GTEX-13S7M-0011-R3a-SM-5PNX2,Anterior,Female,66.0
GTEX-11ZVC-0011-R3a-SM-5BC6V,Anterior,Female,56.0
GTEX-P44H-0011-R3A-SM-5SI8A,Anterior,Male,43.0
GTEX-139UC-0011-R3b-SM-5K7VZ,Anterior,Male,67.0
GTEX-N7MT-0011-R3a-SM-2I3GC,Anterior,Female,68.0
GTEX-X4XX-0011-R3B-SM-46MWK,Anterior,Male,69.0
GTEX-Y8DK-0011-R3A-SM-4RTW5,Anterior,Male,62.0
GTEX-OHPN-0011-R3A-SM-2I5FC,Anterior,Female,61.0
GTEX-13SLW-0011-R3b-SM-5SI6Y,Anterior,Male,70.0
GTEX-145LS-0011-R3a-SM-5S2VJ,Anterior,Female,61.0
GTEX-N7MS-0011-R3a-SM-5SI8H,Anterior,Male,61.0
GTEX-11UD1-0011-R3a-SM-5BC6S,Anterior,Female,44.0
GTEX-11ZTS-0011-R3a-SM-5BC78,Anterior,Female,67.0
GTEX-13OVL-0011-R3b-SM-5L3I8,Anterior,Male,50.0
GTEX-X585-0011-R3B-SM-46MVG,Anterior,Male,56.0
GTEX-145MG-0011-R3b-SM-5SI67,Anterior,Male,55.0
GTEX-13X6I-0011-R3b-SM-5P9HM,Anterior,Male,65.0
GTEX-1313W-0011-R3a-SM-5EGLI,Anterior,Female,54.0
GTEX-13VXU-0011-R3b-SM-5O9CU,Anterior,Male,58.0
GTEX-T2IS-0011-R3A-SM-32QPB,Anterior,Female,24.0
GTEX-12ZZW-0011-R3a-SM-5DUWW,Anterior,Male,57.0
GTEX-13O3O-0011-R3b-SM-5KM3R,Anterior,Female,68.0
GTEX-13112-0011-R3b-SM-5HL9L,Anterior,Male,52.0
GTEX-RVPU-0011-R3A-SM-2XCAE,Anterior,Male,57.0
GTEX-13OW8-0011-R3a-SM-5L3I4,Anterior,Male,66.0
GTEX-WHSE-0011-R3A-SM-3P5ZM,Anterior,Male,20.0
GTEX-13CIG-0011-R3b-SM-5K7XF,Anterior,Male,59.0
GTEX-13OVH-0011-R3a-SM-5KM49,Anterior,Male,70.0
GTEX-NPJ8-0011-R3a-SM-2HMIW,Anterior,Male,40.0
GTEX-12ZZZ-0011-R3b-SM-5DUXK,Anterior,Male,64.0
GTEX-ZUA1-0011-R3a-SM-4YCEE,Anterior,Male,46.0
GTEX-13PLJ-0011-R3a-SM-5O9DT,Anterior,Female,60.0
GTEX-131YS-0011-R3b-SM-5DUXB,Anterior,Female,67.0
GTEX-RVPU-0011-R5A-SM-2XCAD,Caudate,Male,57.0
GTEX-1399T-0011-R5b-SM-5IJDK,Caudate,Male,67.0
GTEX-13O3O-0011-R5b-SM-5KM44,Caudate,Female,68.0
GTEX-WL46-0011-R5A-SM-3LK6V,Caudate,Male,53.0
GTEX-NPJ8-0011-R5a-SM-2HMJY,Caudate,Male,40.0
GTEX-13NZA-0011-R5b-SM-5KM4K,Caudate,Male,64.0
GTEX-Z93S-0011-R5b-SM-4RGNI,Caudate,Male,52.0
GTEX-13N1W-0011-R5b-SM-5MR5Q,Caudate,Male,70.0
GTEX-XOTO-0011-R5A-SM-4B657,Caudate,Male,59.0
GTEX-OXRN-0011-R5A-SM-2I5EF,Caudate,Male,59.0
GTEX-QVJO-0011-R5A-SM-2S1QM,Caudate,Female,64.0
GTEX-13OW5-0011-R5b-SM-5L3FR,Caudate,Male,62.0
GTEX-13SLX-0011-R5a-SM-5O9BV,Caudate,Female,57.0
GTEX-RVPV-0011-R5A-SM-2TF69,Caudate,Male,67.0
GTEX-145MI-0011-R5a-SM-5Q5B4,Caudate,Female,68.0
GTEX-T6MN-0011-R5A-SM-32QPD,Caudate,Male,51.0
GTEX-NPJ7-0011-R5a-SM-33HBK,Caudate,Female,68.0
GTEX-UTHO-0011-R5A-SM-3GIJD,Caudate,Male,68.0
GTEX-ZUA1-0011-R5b-SM-51MTG,Caudate,Male,46.0
GTEX-13PVQ-0011-R5b-SM-5O9DI,Caudate,Male,59.0
GTEX-XMD1-0011-R5A-SM-4AT47,Caudate,Male,67.0
GTEX-12ZZX-0011-R5a-SM-5HL89,Caudate,Female,49.0
GTEX-PVOW-0011-R5A-SM-32PL7,Caudate,Male,40.0
GTEX-R55F-0011-R5A-SM-2TF5L,Caudate,Male,55.0
GTEX-13JUV-0011-R5a-SM-5LZY5,Caudate,Female,46.0
GTEX-OHPN-0011-R5A-SM-2I5FF,Caudate,Female,61.0
GTEX-13X6J-0011-R5b-SM-5PNWT,Caudate,Male,56.0
GTEX-P44G-0011-R5A-SM-2I3FA,Caudate,Male,34.0
GTEX-13IVO-0011-R5a-SM-5L3CY,Caudate,Male,70.0
GTEX-13FHP-0011-R5b-SM-5LZY2,Caudate,Male,56.0
GTEX-11WQC-0011-R5a-SM-5BC74,Caudate,Male,64.0
GTEX-12WSF-0011-R5a-SM-5HL8K,Caudate,Male,70.0
GTEX-139T8-0011-R5b-SM-5J1MO,Caudate,Male,62.0
GTEX-13FLV-0011-R5a-SM-5LZWT,Caudate,Male,50.0
GTEX-Q2AG-0011-R5A-SM-2HMJH,Caudate,Female,42.0
GTEX-ZE7O-0011-R5a-SM-57WBO,Caudate,Female,57.0
GTEX-13SLW-0011-R5b-SM-5SI6Z,Caudate,Male,70.0
GTEX-11NV4-0011-R5a-SM-5NQ88,Caudate,Male,64.0
GTEX-13X6K-0011-R5b-SM-5PNUE,Caudate,Female,61.0
GTEX-13PLJ-0011-R5a-SM-5O9BG,Caudate,Female,60.0
GTEX-144GL-0011-R5b-SM-5PNUJ,Caudate,Male,57.0
GTEX-11H98-0011-R5b-SM-57WCF,Caudate,Male,50.0
GTEX-14BIN-0011-R5b-SM-5SI78,Caudate,Female,56.0
GTEX-13112-0011-R5b-SM-5DUV8,Caudate,Male,52.0
GTEX-X585-0011-R5A-SM-46MVI,Caudate,Male,56.0
GTEX-12WSB-0011-R5b-SM-5GU67,Caudate,Female,65.0
GTEX-14753-0011-R5a-SM-5S2VW,Caudate,Male,67.0
GTEX-ZE9C-0011-R5a-SM-5EGLO,Caudate,Male,69.0
GTEX-YFC4-0011-R5a-SM-4RGLR,Caudate,Female,47.0
GTEX-13VXU-0011-R5a-SM-5O9D7,Caudate,Male,58.0
GTEX-1313W-0011-R5b-SM-5L3EP,Caudate,Female,54.0
GTEX-13FLW-0011-R5a-SM-5LZX6,Caudate,Male,57.0
GTEX-X4XX-0011-R5A-SM-46MWN,Caudate,Male,69.0
GTEX-131YS-0011-R5b-SM-5K7YB,Caudate,Female,67.0
GTEX-OXRO-0011-R5A-SM-2I5EG,Caudate,Female,62.0
GTEX-13JVG-0011-R5a-SM-5MR4O,Caudate,Male,64.0
GTEX-RNOR-0011-R5A-SM-2TF4J,Caudate,Female,52.0
GTEX-13NYB-0011-R5a-SM-5MR45,Caudate,Male,49.0
GTEX-ZV68-0011-R5a-SM-4YCDW,Caudate,Female,57.0
GTEX-12WSC-0011-R5b-SM-5CVNS,Caudate,Male,56.0
GTEX-13X6I-0011-R5a-SM-5PNWW,Caudate,Male,65.0
GTEX-NL4W-0011-R5a-SM-2I3GD,Caudate,Male,53.0
GTEX-WZTO-0011-R5B-SM-3NMC5,Caudate,Male,44.0
GTEX-145LS-0011-R5a-SM-5SI65,Caudate,Female,61.0
GTEX-139UC-0011-R5b-SM-5K7VY,Caudate,Male,67.0
GTEX-QMR6-0011-R5A-SM-32PKT,Caudate,Male,59.0
GTEX-13RTJ-0011-R5a-SM-5P9HR,Caudate,Male,60.0
GTEX-WVLH-0011-R5A-SM-3MJFW,Caudate,Male,58.0
GTEX-WWYW-0011-R5A-SM-3NB3E,Caudate,Female,52.0
GTEX-13S7M-0011-R5b-SM-5P9HS,Caudate,Female,66.0
GTEX-13OVL-0011-R5b-SM-5L3FU,Caudate,Male,50.0
GTEX-S7SE-0011-R5A-SM-2XCDA,Caudate,Male,58.0
GTEX-139TS-0011-R5b-SM-5J2MZ,Caudate,Male,61.0
GTEX-14BIM-0011-R5b-SM-5S2RM,Caudate,Female,64.0
GTEX-NPJ7-0011-R5a-SM-2I5GY,Caudate,Female,68.0
GTEX-12ZZY-0011-R5a-SM-5EGL9,Caudate,Male,64.0
GTEX-RU72-0011-R5A-SM-2TF6U,Caudate,Female,59.0
GTEX-13G51-0011-R5a-SM-5L3EB,Caudate,Male,69.0
GTEX-11OF3-0011-R5a-SM-57WB4,Caudate,Male,63.0
GTEX-ZVT3-0011-R5a-SM-51MSI,Caudate,Female,67.0
GTEX-12WS9-0011-R5b-SM-5P9EV,Caudate,Female,59.0
GTEX-13N2G-0011-R5a-SM-5MR33,Caudate,Male,60.0
GTEX-11UD1-0011-R5b-SM-5P9FP,Caudate,Female,44.0
GTEX-13CIG-0011-R5b-SM-5L3F2,Caudate,Male,59.0
GTEX-13OW6-0011-R5a-SM-5O9BK,Caudate,Male,59.0
GTEX-T2IS-0011-R5A-SM-32QP4,Caudate,Female,24.0
GTEX-TSE9-0011-R5A-SM-3DB7J,Caudate,Female,60.0
GTEX-144GO-0011-R5a-SM-5PNUR,Caudate,Male,68.0
GTEX-13O3Q-0011-R5b-SM-5P9H4,Caudate,Male,53.0
GTEX-PWO3-0011-R5A-SM-2I5EZ,Caudate,Female,69.0
GTEX-S7PM-0011-R5A-SM-3NM8G,Caudate,Male,65.0
GTEX-139TU-0011-R5b-SM-5L3E1,Caudate,Male,64.0
GTEX-N7MS-0011-R5a-SM-2HMK8,Caudate,Male,61.0
GTEX-11GSP-0011-R5a-SM-57WBE,Caudate,Female,66.0
GTEX-P44H-0011-R5A-SM-2XCEX,Caudate,Male,43.0
GTEX-13OVJ-0011-R5a-SM-5P9H7,Caudate,Female,55.0
GTEX-13NYS-0011-R5a-SM-5MR4D,Caudate,Male,63.0
GTEX-1477Z-0011-R5b-SM-5PNUO,Caudate,Male,65.0
GTEX-N7MT-0011-R5a-SM-2I3G6,Caudate,Female,68.0
GTEX-T5JC-0011-R5A-SM-32PLK,Caudate,Male,27.0
GTEX-13PL6-0011-R5b-SM-5O9BI,Caudate,Female,44.0
GTEX-132Q8-0011-R5a-SM-5IJDM,Caudate,Male,68.0
GTEX-11TUW-0011-R5b-SM-5BC6Q,Caudate,Male,66.0
GTEX-13FXS-0011-R5b-SM-5LZYE,Caudate,Male,59.0
GTEX-12WSA-0011-R5b-SM-5GU5I,Caudate,Female,67.0
GTEX-X261-0011-R5A-SM-3NMB4,Caudate,Male,56.0
GTEX-YJ89-0011-R5a-SM-4V6GM,Caudate,Male,60.0
GTEX-NL3H-0011-R5a-SM-2I3GB,Caudate,Male,60.0
GTEX-12WSD-0011-R5b-SM-5CVNG,Caudate,Female,64.0
GTEX-R55E-0011-R5A-SM-2TC5N,Caudate,Male,22.0
GTEX-145MG-0011-R5b-SM-5S2VU,Caudate,Male,55.0
GTEX-12ZZZ-0011-R5a-SM-5EQ4M,Caudate,Male,64.0
GTEX-ZF28-0011-R5a-SM-4WWCZ,Caudate,Male,69.0
GTEX-ZDXO-0011-R5a-SM-4WKG5,Caudate,Male,60.0
GTEX-Y8DK-0011-R5B-SM-4RTW6,Caudate,Male,62.0
GTEX-13OW8-0011-R5b-SM-5L3FQ,Caudate,Male,66.0
GTEX-145MH-0011-R5a-SM-5P9JT,Caudate,Male,57.0
GTEX-12WSH-0011-R5b-SM-5P9F3,Caudate,Male,59.0
GTEX-13OVH-0011-R5b-SM-5KM4L,Caudate,Male,70.0
GTEX-13OW7-0011-R5b-SM-5O9DM,Caudate,Male,53.0
GTEX-12WSM-0011-R5a-SM-5EQ4Y,Caudate,Male,63.0
GTEX-1445S-0011-R5a-SM-5PNUS,Caudate,Male,64.0
GTEX-WHSE-0011-R5A-SM-3P5ZO,Caudate,Male,20.0
GTEX-ZXG5-0011-R5b-SM-57WBN,Caudate,Male,66.0
GTEX-13CF2-0011-R5a-SM-5LZWS,Caudate,Male,61.0
GTEX-QDT8-0011-R5A-SM-32PKN,Caudate,Female,30.0
GTEX-12ZZW-0011-R5a-SM-5DUVN,Caudate,Male,57.0
GTEX-139TT-0011-R5b-SM-5K7W8,Caudate,Male,60.0
GTEX-13CZV-0011-R5a-SM-5K7XA,Caudate,Male,64.0
GTEX-14ABY-0011-R5b-SM-5SI7B,Caudate,Male,59.0
GTEX-ZVZQ-0011-R5b-SM-57WDC,Caudate,Female,62.0
GTEX-13FHO-0011-R5b-SM-5LZZ3,Caudate,Male,61.0
GTEX-12WSM-0011-R11a-SM-5DUX8,Cerebellar,Male,63.0
GTEX-YFC4-0011-R11a-SM-4SOK6,Cerebellar,Female,47.0
GTEX-11H98-0011-R11b-SM-5NQ6U,Cerebellar,Male,50.0
GTEX-T6MN-0011-R11A-SM-32QOX,Cerebellar,Male,51.0
GTEX-13N1W-0011-R11a-SM-5MR3D,Cerebellar,Male,70.0
GTEX-N7MS-0011-R11A-SM-2HMJS,Cerebellar,Male,61.0
GTEX-ZVZQ-0011-R11a-SM-51MS6,Cerebellar,Female,62.0
GTEX-145MH-0011-R11a-SM-5P9HQ,Cerebellar,Male,57.0
GTEX-ZVT3-0011-R11b-SM-57WBI,Cerebellar,Female,67.0
GTEX-S7SE-0011-R11A-SM-2XCDD,Cerebellar,Male,58.0
GTEX-X261-0011-R11A-SM-4E3JY,Cerebellar,Male,56.0
GTEX-Y8DK-0011-R11A-SM-4SOK2,Cerebellar,Male,62.0
GTEX-131YS-0011-R11b-SM-5EGLM,Cerebellar,Female,67.0
GTEX-14BIM-0011-R11b-SM-5S2RN,Cerebellar,Female,64.0
GTEX-139UW-0011-R11a-SM-5IJGN,Cerebellar,Male,62.0
GTEX-RVPU-0011-R11A-SM-2XCAF,Cerebellar,Male,57.0
GTEX-13CF2-0011-R11b-SM-5LZXO,Cerebellar,Male,61.0
GTEX-13G51-0011-R11b-SM-5J2NE,Cerebellar,Male,69.0
GTEX-12WSE-0011-R11b-SM-5P9JW,Cerebellar,Male,25.0
GTEX-YJ89-0011-R11a-SM-4SOKA,Cerebellar,Male,60.0
GTEX-132Q8-0011-R11b-SM-5DUW9,Cerebellar,Male,68.0
GTEX-WVLH-0011-R11A-SM-3MJFO,Cerebellar,Male,58.0
GTEX-12WSF-0011-R11a-SM-5LZVT,Cerebellar,Male,70.0
GTEX-13X6I-0011-R11a-SM-5P9HN,Cerebellar,Male,65.0
GTEX-1399T-0011-R11a-SM-5J2O1,Cerebellar,Male,67.0
GTEX-13OVJ-0011-R11a-SM-5P9H8,Cerebellar,Female,55.0
GTEX-13SLW-0011-R11a-SM-5SI8Q,Cerebellar,Male,70.0
GTEX-13SLX-0011-R11b-SM-5O9C8,Cerebellar,Female,57.0
GTEX-P44H-0011-R11A-SM-2XCER,Cerebellar,Male,43.0
GTEX-139TT-0011-R11b-SM-5LZV1,Cerebellar,Male,60.0
GTEX-13NYS-0011-R11b-SM-5MR4P,Cerebellar,Male,63.0
GTEX-12WSI-0011-R11b-SM-5P9EZ,Cerebellar,Male,54.0
GTEX-11WQK-0011-R11a-SM-5BC6W,Cerebellar,Male,55.0
GTEX-145MI-0011-R11a-SM-5P9JZ,Cerebellar,Female,68.0
GTEX-139UC-0011-R11a-SM-5KM3J,Cerebellar,Male,67.0
GTEX-R55E-0011-R11A-SM-2TC6I,Cerebellar,Male,22.0
GTEX-NPJ7-0011-R11A-SM-2I3E8,Cerebellar,Female,68.0
GTEX-WHSE-0011-R11A-SM-3P5YY,Cerebellar,Male,20.0
GTEX-13PVQ-0011-R11a-SM-5O9DU,Cerebellar,Male,59.0
GTEX-13N2G-0011-R11a-SM-5MR3F,Cerebellar,Male,60.0
GTEX-QMR6-0011-R11A-SM-32PKK,Cerebellar,Male,59.0
GTEX-14ABY-0011-R11a-SM-5SI7C,Cerebellar,Male,59.0
GTEX-13IVO-0011-R11b-SM-5LZXQ,Cerebellar,Male,70.0
GTEX-T2IS-0011-R11A-SM-32QPC,Cerebellar,Female,24.0
GTEX-13S7M-0011-R11b-SM-5P9HU,Cerebellar,Female,66.0
GTEX-13FXS-0011-R11a-SM-5L3DM,Cerebellar,Male,59.0
GTEX-13OW5-0011-R11b-SM-5L3GG,Cerebellar,Male,62.0
GTEX-XLM4-0011-R11A-SM-4AT46,Cerebellar,Male,64.0
GTEX-RU72-0011-R11A-SM-5SI8G,Cerebellar,Female,59.0
GTEX-UTHO-0011-R11A-SM-3GIJE,Cerebellar,Male,68.0
GTEX-12WSB-0011-R11b-SM-57WBJ,Cerebellar,Female,65.0
GTEX-13FTY-0011-R11a-SM-5IJEA,Cerebellar,Female,49.0
GTEX-14BIN-0011-R11a-SM-5SI79,Cerebellar,Female,56.0
GTEX-13X6K-0011-R11a-SM-5P9F5,Cerebellar,Female,61.0
