"","Amygdala","Anterior","Caudate","Cerebellar","Cerebellum","Cortex","Frontal_Cortex","Hippocampus","Hypothalamus","Nucleus_Accumbens","Putamen","Spinal_Cord","Substantia_Nigra","Blood"
"GTEX-1445",1,1,1,0,0,1,1,0,1,1,1,0,1,0
"GTEX-144F",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTEX-144G",1,1,1,1,1,1,0,1,1,1,1,0,0,0
"GTEX-145L",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-145M",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"GTEX-1475",0,0,1,0,0,0,1,0,1,1,0,0,0,0
"GTEX-1477",0,1,1,0,0,0,1,0,0,0,0,0,0,0
"GTEX-147F",0,0,0,0,1,0,1,0,1,1,0,0,0,0
"GTEX-147G",1,0,0,0,0,1,1,0,0,1,1,1,1,0
"GTEX-148V",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GTEX-14A5",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"GTEX-14AB",1,0,1,1,0,0,0,0,0,1,1,1,0,0
"GTEX-14AS",0,0,0,0,1,1,1,1,1,1,0,0,0,0
"GTEX-14BI",1,1,1,1,1,0,1,0,0,1,1,1,1,0
"GTEX-14BM",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GTEX-14C5",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GTEX-14DA",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GTEX-14E7",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GTEX-N7MS",1,1,1,1,0,0,1,1,1,1,1,0,1,0
"GTEX-N7MT",1,1,1,1,1,1,0,1,1,1,1,0,1,0
"GTEX-NL3H",1,1,1,1,0,0,1,1,1,1,1,0,1,0
"GTEX-NL4W",1,0,1,1,0,0,1,0,1,1,0,1,1,0
"GTEX-NPJ7",1,0,1,1,1,1,1,1,1,1,0,1,1,0
"GTEX-NPJ8",1,1,1,1,0,0,1,1,1,1,1,1,1,0
"GTEX-OHPN",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-OXRN",0,0,1,0,0,1,1,0,0,0,0,0,0,0
"GTEX-OXRO",0,0,1,0,0,0,1,0,0,0,0,1,1,0
"GTEX-P44G",1,1,1,1,1,1,1,1,0,1,1,0,1,0
"GTEX-P44H",1,1,1,1,1,0,1,1,1,1,0,0,0,0
"GTEX-PVOW",0,1,1,0,1,1,0,1,0,0,0,0,0,0
"GTEX-PWO3",0,1,1,0,1,1,0,1,1,1,0,0,1,0
"GTEX-Q2AG",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-QDT8",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"GTEX-QMR6",1,0,1,1,1,1,1,1,1,1,1,0,1,0
"GTEX-QVJO",1,0,1,0,1,1,1,1,1,1,1,1,1,0
"GTEX-QVUS",1,1,0,0,1,1,1,1,1,1,0,1,0,0
"GTEX-R55E",1,0,1,1,1,0,0,1,1,1,1,1,0,0
"GTEX-R55F",0,0,1,0,1,1,0,0,1,1,0,0,0,0
"GTEX-RNOR",1,1,1,0,1,1,0,1,0,0,1,1,0,0
"GTEX-RU72",0,0,1,1,1,1,1,0,1,1,1,1,1,0
"GTEX-RVPU",1,1,1,1,0,0,1,1,1,1,1,1,1,0
"GTEX-RVPV",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"GTEX-S7PM",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"GTEX-S7SE",1,0,1,1,1,0,1,1,1,1,1,0,1,0
"GTEX-T2IS",0,1,1,1,1,1,0,0,0,1,0,0,1,0
"GTEX-T5JC",1,0,1,1,1,1,1,1,1,1,1,1,1,0
